Year,Position,Artist,Song
1997,80,Ben Harper,Faded
1997,81,Kylie Minogue,Did It Again
1997,82,Primus,Shake Hands with Beef
1997,83,Lard,I Wanna Be A Drug-Sniffing Dog
1997,84,Dave Graney,Feelin' Kinda Sporty
1997,85,Brainbug,Nightmare
1997,86,Blackeyed Susans,Smokin' Johnny Cash
1997,87,Sneaker Pimps,6 Underground
1997,88,Beaverloop,Nothing
1997,89,Dandy Warhols,Last Junkie on Earth
1997,90,Pennywise,Society
1997,91,Blue Boy,Remember Me
1997,92,Sidewinder,Titanic Days
1997,93,Skunkhour,Weightlessness
1997,94,Rebecca's Empire,Way Of All Things
1997,95,Faithless,Don't Leave
1997,96,Local H,Bound for the Floor
1997,97,Arkarna,Futures Overrated
1997,98,Daft Punk,Da Funk
1997,99,Luscious Jackson,Naked Eye
1997,100,Effigy,I Give In
1998,1,The Offspring,Pretty Fly (For a White Guy)
1998,2,Ben Lee,Cigarettes Will Kill You
1998,3,Custard,Girls Like That (Don't Go For Guys Like Us)
1998,4,Hole,Celebrity Skin
1998,5,Korn,Got the Life
1998,6,Regurgitator,! (Song Formerly Known As)
1998,7,Jebediah,Harpoon
1998,8,Powderfinger,The Day You Come
1998,9,You Am I,Heavy Heart
1998,10,The Living End,Save The Day
1998,11,U2,The Sweetest Thing
1998,12,Ben Folds Five,Brick
1998,13,They Might Be Giants,Dr. Worm
1998,14,Blink-182,Josie (Everything's Gonna Be Fine)
1998,15,The Living End,Second Solution
1998,16,Josh Abrahams & Amiel Daemion,Addicted to Bass
1998,17,The Living End,Tainted Love {Live}
1998,18,Grinspoon,Just Ace
1998,19,Wyclef Jean,Bubblegoose
1998,20,Chef,Simultaneous
1998,21,Marcy Playground,Sex and Candy
1998,22,Grinspoon,Black Friday
1998,23,Massive Attack,Teardrop
1998,24,Custard,Music Is Crap
1998,25,Beastie Boys,Intergalactic
1998,26,Regurgitator,Polyester Girl
1998,27,Regurgitator,I Like Your Old Remix Better Than Your New Remix
1998,28,Happyland,Don't You Know Who I Am
1998,29,Jeff Buckley,Everybody Here Wants You
1998,30,Cake,Never There
1998,31,Paul McDermott,Throw Your Arms Around Me
1998,32,Regurgitator,Black Bugs
1998,33,Eskimo Joe,Sweater
1998,34,Barenaked Ladies,One Week
1998,35,Harvey Danger,Flagpole Sitta
1998,36,TISM,Whatareya?
1998,37,The Whitlams,Buy Now Pay Later (Charlie No 2)
1998,38,The Mighty Mighty Bosstones,The Impression That I Get
1998,39,Adam Sandler,Somebody Kill Me
1998,40,Ben Folds Five,Song For The Dumped
1998,41,Placebo,Pure Morning
1998,42,Jebediah,Teflon
1998,43,The Whitlams,Melbourne
1998,44,Marilyn Manson,The Dope Show
1998,45,The Smashing Pumpkins,Ava Adore
1998,46,Powderfinger,Don't Wanna Be Left Out
1998,47,Pearl Jam,Do the Evolution
1998,48,Catatonia,Road Rage
1998,49,Hole,Malibu
1998,50,Run-D.M.C. vs Jason Nevins,It's Like That
1998,51,Pearl Jam,Given to Fly
1998,52,Green Day,The Grouch
1998,53,Everclear,Father of Mine
1998,54,Frenzal Rhomb,Mum Changed The Locks
1998,55,Radiohead,No Surprises
1998,56,The Whitlams,Charlie No 3
1998,57,Garbage,I Think I'm Paranoid
1998,58,Pauline Pantsdown,I Don't Like It
1998,59,Propellerheads & Shirley Bassey,History Repeating
1998,60,Ani DiFranco,Untouchable Face
1998,61,The Mavis's,Cry
1998,62,The Offspring,Gone Away
1998,63,Fatboy Slim,The Rockafeller Skank
1998,64,Antenna,Come On Spring
1998,65,You Am I,Rumble
1998,66,Rage Against the Machine,No Shelter
1998,67,Metallica,The Unforgiven II
1998,68,Dandy Warhols,Every Day Should Be A Holiday
1998,69,Pollyanna,Cinnamon Lip
1998,70,Manic Street Preachers,If You Tolerate This Your Children Will Be Next
1998,71,Happyland,Hello
1998,72,Frenzal Rhomb,Mr Charisma
1998,73,Stardust,Music Sounds Better with You
1998,74,Foo Fighters,My Hero
1998,75,Rob Zombie,Dragula
1998,76,Marcy Playground,Saint Joe on the School Bus
1998,77,Metallica,Fuel
1998,78,Fuel,Shimmer
1998,79,Grinspoon,Don't Go Away
1998,80,Babybird,Bad Old Man
1998,81,Bran Van 3000,Drinking in L.A.
1998,82,Drugstore,El President
1998,83,The Superjesus,Now And Then
1998,84,Green Day,Good Riddance (Time of Your Life)
1998,85,Something for Kate,Harpoon
1998,86,Ben Harper,Mama's Trippin'
1998,87,Garbage,Push It
1998,88,Pearl Jam,Wishlist
1998,89,Garbage,Special
1998,90,Chef,No Substitute
1998,91,Jebediah,Benedict
1998,92,Space with Cerys Matthews,The Ballad of Tom Jones
1998,93,Silverchair,Untitled
1998,94,The Smashing Pumpkins,Perfect
1998,95,Beck,Tropicalia
1998,96,Midnight Oil,Redneck Wonderland
1998,97,Even,Black Umbrella
1998,98,Foo Fighters,Baker Street
1998,99,Superjesus,Saturation
1998,100,Not From There,Sich Offnen
1999,1,Powderfinger,These Days
1999,2,Killing Heidi,Weir
1999,3,The Tenants,You Shit Me To Tears
1999,4,Fatboy Slim,Praise You
1999,5,Placebo,Every You Every Me
1999,6,Bloodhound Gang,The Bad Touch
1999,7,Rage Against The Machine,Guerrilla Radio
1999,8,Limp Bizkit,Nookie
1999,9,Pearl Jam,Last Kiss
1999,10,Red Hot Chili Peppers,Scar Tissue
1999,11,The Foo Fighters,Learn To Fly
1999,12,Garbage,When I Grow Up
1999,13,Blink-182,What's My Age Again?
1999,14,Killing Heidi,Mascara
1999,15,Silverchair,Ana's Song (Open Fire)
1999,16,Korn,Freak On A Leash
1999,17,Korn,Falling Away From Me
1999,18,Sonic Animation,Theophilus Thistler (An Exercise In Vowels)
1999,19,Jebediah,Animal
1999,20,Rhubarb,Exerciser
1999,21,Alex Lloyd,Lucky Star
1999,22,Madison Avenue,Don't Call Me Baby
1999,23,Fatboy Slim,"Right Here, Right Now"
1999,24,Macy Gray,I Try
1999,25,Powderfinger,Already Gone
1999,26,Frenzal Rhomb,Never Had So Much Fun
1999,27,The Chemical Brothers,Hey Boy Hey Girl
1999,28,Jebediah,Feet Touch the Ground
1999,29,Silverchair,Anthem for the Year 2000
1999,30,Silverchair,Miss You Love
1999,31,Blink-182,All the Small Things
1999,32,The Tea Party,Heaven Coming Down
1999,33,Grinspoon,Ready 1
1999,34,Frenzal Rhomb,You Are Not My Friend
1999,35,Peter Helliar,Bevan The Musical
1999,36,Bodyjar,Hazy Shade Of Winter
1999,37,Red Hot Chili Peppers,Around The World
1999,38,The Whitlams,Chunky Chunky Air Guitar
1999,39,Eskimo Joe,Turn Up Your Stereo
1999,40,Spiderbait,Shazam!
1999,41,The Living End,All Torn Down
1999,42,Custard,Ringo (I Feel Like)
1999,43,Silverchair,Emotion Sickness
1999,44,Something For Kate,Electricity
1999,45,Gerling,"Enter, Space Capsule"
1999,46,Bush,The Chemicals Between Us
1999,47,Blur,Coffee & TV
1999,48,The Living End,West End Riot
1999,49,Area-7,Second Class Citizen
1999,50,The Fauves,Bigger Than Tina
1999,51,Ben Folds Five,Army
1999,52,The Cruel Sea,It Won't Last
1999,53,Beck,Sexx Laws
1999,54,The Whitlams,Thank You (For Loving Me at My Worst)
1999,55,Diana Ah Naid,Perfect Family
1999,56,Metallica,No Leaf Clover
1999,57,Blur,Tender
1999,58,Regurgitator,I Want To Be A Nudist
1999,59,Machine Gun Fellatio,Mutha Fukka On A Motorcycle
1999,60,VAST,Touched
1999,61,Augie March,Asleep In Perfection
1999,62,Regurgitator,Happiness (Rotting My Brain)
1999,63,Jamiroquai,Canned Heat
1999,64,Frenzal Rhomb,We're Going Out Tonight
1999,65,Ben Harper,Burn to Shine
1999,66,Testeagles,Turn That Shit Up
1999,67,Madonna,Beautiful Stranger
1999,68,Powderfinger,Good-Day Ray
